# dcut planecut  dE[eV]  Strainx100  icrit  rc[A]  yc[A]  nbatminx yboxlen[A] dErlx2[eV] ycrlx[A] rcut2[A] nu50Krlx2[/s] nu300Krlx2[/s] nu1000Krlx2[/s] {lognu50Krlx2} {lognu300Krlx2} {lognu1000Krlx2}
0.01 0 0.355000 111 14 10.103 -2.61582015380000000000 1 73.0556063207 0.355000 2 10.103 7.062480489996677e-24 4.652153471494928e+06 6.954590796853629e+10 -2.315104273890326e+01 6.667654033383144e+00 1.084227158150324e+01
0.01 2 0.354000 111 14 10.102 -2.61592448360000000000 1 73.0553079649 0.354000 2 10.102 8.840999887075636e-24 4.799564455366520e+06 6.983286989472708e+10 -2.305349861497757e+01 6.681201828372824e+00 1.084405989044188e+01
0.01 4 0.357000 111 14 7.7504 -3.74966268550000000000 2 73.0551052243 1.5 2 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.01 6 0.329000 111 15 7.7503 -3.74958104580000000000 2 73.0549937289 1.5 2 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.01 8 0.819000 111 16 6.7548 -27.77527407090000000000 6 73.0624561254 1.5 12 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.01 10 0.816000 111 16 6.7529 -29.96146631340000000000 6 73.0588242991 1.5 14 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.01 12 0.811000 111 16 6.7531 -32.14684776690000000000 6 73.0556270302 1.5 14 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.01 14 0.810000 111 16 6.7484 -34.33649034260000000000 6 73.0531512356 1.5 16 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.01 16 0.810000 111 16 6.6760 -35.43182993530000000000 7 73.0523650373 0.810000 16 6.6760 2.926717975190055e-68 3.187185295538720e+00 1.068048598380241e+10 -6.753361912509605e+01 5.034073130785932e-01 1.002859101442304e+01
0.01 18 0.810000 111 16 6.6760 -37.62053510200001 7 73.0523650373 0.810000 16 6.6760 2.926717975190055e-68 3.187185295538720e+00 1.068048598380241e+10 -6.753361912509605e+01 5.034073130785932e-01 1.002859101442304e+01
0.01 20 0.810000 111 16 6.7484 -38.71666089300000 6 73.0531512356 1.5 16 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.01 22 0.811000 111 16 6.7531 -40.90877926330000 6 73.0556270302 1.5 14 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
0.01 24 0.816000 111 16 6.7529 -43.09735798570000 6 73.0588242991 1.5 14 NaN 1.448556256278469e-135 1.430305373367239e-09 6.232436276575472e+08 -1.348390646338279e+02 -8.844571229800838e+00 8.794657846762956e+00
